FRAME   ID  X   Y
318 1 184 63
319 0 170 48
319 1 184 63
320 0 170 48
320 1 184 63
321 0 170 49
321 1 184 63
322 0 170 50
322 1 184 63
323 0 171 50
323 1 184 62
324 0 172 50
324 1 184 61
325 0 171 50
325 1 184 61
326 0 172 50
326 1 185 61
327 0 172 51
327 1 186 61
328 0 173 52
328 1 185 61
329 0 174 52
329 1 186 61
330 0 174 52
330 1 185 61
331 0 174 52
331 1 186 61
332 0 174 53
332 1 185 61
333 0 175 55
333 1 185 61
334 0 176 55
334 1 185 61
335 0 175 55
335 1 185 61
336 0 175 55
336 1 184 61
337 0 175 55
337 1 184 61
338 0 175 55
338 1 183 61
339 0 175 55
339 1 184 61
340 0 176 56
340 1 183 61
341 0 176 56
341 1 183 61
342 0 176 56
342 1 183 61
343 0 176 56
343 1 183 61
344 0 176 56
344 1 182 61
345 0 175 56
345 1 181 61
346 0 175 56
346 1 181 61
347 0 175 57
347 1 181 62
348 0 175 57
348 1 180 61
349 0 175 57
349 1 179 62
350 0 175 57
350 1 179 61
351 0 174 55
351 1 178 61
352 0 173 54
352 1 176 60
353 0 173 53
353 1 175 58
354 0 173 52
354 1 175 56
